approach,fold,val_start,val_end,mae,rmse,wape,bias,pinball_0.7,emp_mae,coverage,overstaff,understaff
M2_ensemble_4model,rolling_w3,2026-04-06,2026-04-12,10.955357142857142,14.130450907778664,0.09562777647884031,6.6875,4.140178571428572,0.9464285714285714,0.9017857142857143,0.7053571428571429,0.24107142857142858
M2_ensemble_4model,may_2025,2025-04-28,2025-05-04,16.107142857142858,20.180436070610565,0.15152024189484295,-2.9107142857142856,8.635714285714284,0.9821428571428571,0.625,0.38392857142857145,0.5982142857142857
M2_ensemble_4model,victory_2025,2025-05-05,2025-05-11,12.294642857142858,16.775034596515315,0.12081066853834006,0.5089285714285714,6.045535714285713,0.7410714285714286,0.7946428571428571,0.4107142857142857,0.33035714285714285
M2_ensemble_4model,feb23_2026,2026-02-23,2026-03-01,8.446428571428571,10.835622468770048,0.08557988058621313,-0.6428571428571429,4.351785714285714,0.6517857142857143,0.7589285714285714,0.26785714285714285,0.38392857142857145
M3_hybrid_B1_plus_lgbm_q0.7,rolling_w1,2026-04-20,2026-04-26,15.366071428571429,18.153364505158343,0.13474788600062637,14.008928571428571,4.8812500000000005,1.1339285714285714,0.9732142857142857,1.0625,0.07142857142857142
M3_hybrid_B1_plus_lgbm_q0.7,rolling_w2,2026-04-13,2026-04-19,10.669642857142858,13.449309594601077,0.09190893708660205,8.330357142857142,3.66875,0.8482142857142857,0.9196428571428571,0.7232142857142857,0.125
M3_hybrid_B1_plus_lgbm_q0.7,rolling_w3,2026-04-06,2026-04-12,12.919642857142858,16.327835566470966,0.11277375107162341,10.169642857142858,4.425892857142857,0.9732142857142857,0.9196428571428571,0.7946428571428571,0.17857142857142858
M3_hybrid_B1_plus_lgbm_q0.7,may_2025,2025-04-28,2025-05-04,16.035714285714285,22.045002673103554,0.15084831177557534,1.9464285714285714,7.628571428571428,0.9375,0.75,0.5178571428571429,0.41964285714285715
M3_hybrid_B1_plus_lgbm_q0.7,victory_2025,2025-05-05,2025-05-11,15.8125,21.969337398162143,0.1553781365151781,3.669642857142857,7.172321428571428,0.9821428571428571,0.7321428571428571,0.5803571428571429,0.4017857142857143
M3_hybrid_B1_plus_lgbm_q0.7,feb23_2026,2026-02-23,2026-03-01,10.419642857142858,12.912134381492251,0.10557264338700922,6.4375,3.922321428571429,0.7589285714285714,0.8839285714285714,0.6071428571428571,0.15178571428571427
